ID,Name,Time,Central Position,,Central Pressure,Maximum Wind Speed,,Gale Radius,Moving Speed,Daily Precipitation
,,8/31/2010 9:00,25.1,129.4,960,40,144,450,19,
,,8/31/2010 15:00,26.2,128.4,960,40,144,300,27,
,,8/31/2010 21:00,27.4,127.3,960,40,144,300,29,7
,,9/1/2010 0:00,28,126.7,965,38,137,300,30,
,,9/1/2010 3:00,28.6,126.2,965,38,137,300,28,
,,9/1/2010 6:00,29.5,125.7,965,38,137,300,38,
,,9/1/2010 9:00,30.4,125.2,960,40,144,300,38,
,,9/1/2010 12:00,31.3,124.9,960,40,144,300,35,
,,9/1/2010 15:00,32.3,124.6,965,38,137,280,39,
,,9/1/2010 18:00,33.4,124.6,965,38,137,250,41,
,,9/1/2010 21:00,34.3,124.8,970,38,137,240,34,57.5
,,9/2/2010 0:00,35.3,125,970,38,137,240,38,
,,9/2/2010 3:00,36.3,125.6,975,36,130,220,42,
,,9/2/2010 6:00,37.5,126.3,985,27,97,180,50,
,,9/2/2010 9:00,38.3,127.3,990,24,86,150,42,
,,9/2/2010 12:00,39.4,128.6,990,24,86,150,56,
,,9/2/2010 15:00,39.5,129.6,995,20,72,130,29,
,,9/2/2010 18:00,39.8,130.9,995,20,72,130,39,
,,9/2/2010 21:00,40.3,132.4,998,18,65,100,47,54
,,9/3/2010 3:00,41.2,134.5,1008,-,-,-,34,-
201207,KHANUN,7/16/2012 15:00,24.2,136.1,1002,18,65,150,50,
,,7/16/2012 21:00,24.8,134.6,1002,18,65,150,33,0.1
,,7/17/2012 3:00,25.6,132.8,998,20,72,180,34,
,,7/17/2012 9:00,26.1,130.9,992,22,79,230,33,
,,7/17/2012 15:00,26.8,129.6,992,22,79,230,25,
,,7/17/2012 21:00,27.7,128.4,992,22,79,230,26,74
,,7/18/2012 0:00,28.2,128,990,24,86,240,23,
,,7/18/2012 3:00,28.5,127.3,988,25,90,250,25,
,,7/18/2012 6:00,28.9,126.9,988,25,90,250,20,
,,7/18/2012 9:00,29.7,126.6,988,25,90,250,31,
,,7/18/2012 12:00,30.6,126.4,988,25,90,250,34,
,,7/18/2012 15:00,31.8,126.2,988,25,90,250,45,
,,7/18/2012 18:00,32.7,126.2,990,24,86,230,33,
,,7/18/2012 21:00,33.7,126.2,990,24,86,230,37,53.4
,,7/19/2012 0:00,34.6,126.2,992,22,79,200,33,
,,7/19/2012 3:00,35.6,126.2,992,22,79,130,37,
,,7/19/2012 6:00,36.6,126.4,992,22,79,120,38,
,,7/19/2012 9:00,37.6,127.2,996,19,68,50,44,
,,7/19/2012 12:00,38.9,128.5,996,-,-,-,61,0
201214,TEMBIN,8/19/2012 9:00,17.6,124.8,1002,18,65,200,14,
,,8/19/2012 15:00,17.6,124.7,998,18,65,230,2,
,,8/19/2012 21:00,17.5,124.8,996,19,68,230,3,-
,,8/20/2012 3:00,17.6,124.7,992,22,79,230,3,
,,8/20/2012 9:00,18,124.8,980,31,112,280,8,
,,8/20/2012 15:00,18.4,125,965,38,137,350,8,
,,8/20/2012 21:00,18.8,125.2,950,43,155,350,8,-
,,8/21/2012 3:00,19.5,125.3,945,45,162,350,13,
,,8/21/2012 9:00,20.2,125.3,945,45,162,350,13,
,,8/21/2012 15:00,21.2,125.4,945,45,162,350,19,
,,8/21/2012 21:00,22,125.3,945,45,162,330,15,0.3
,,8/22/2012 3:00,22.3,124.9,955,41,148,320,9,
,,8/22/2012 9:00,22.5,124.5,965,38,137,300,8,
,,8/22/2012 15:00,22.5,124.3,965,38,137,300,3,
,,8/22/2012 21:00,22.5,124.1,965,38,137,300,3,20.3
,,8/23/2012 3:00,22.6,123.8,965,38,137,250,6,
,,8/23/2012 9:00,22.6,123.6,960,40,144,250,3,
,,8/23/2012 15:00,22.7,123.2,955,41,148,250,7,
,,8/23/2012 21:00,22.7,122.5,955,41,148,250,12,145.8
,,8/24/2012 3:00,22.4,121.3,955,41,148,250,21,
,,8/24/2012 9:00,22.1,120.5,975,34,122,220,15,
,,8/24/2012 15:00,22.3,119.7,975,34,122,220,14,
,,8/24/2012 21:00,22.3,119.5,975,34,122,220,3,46.2
,,8/25/2012 3:00,22.4,119.2,975,34,122,220,5,
,,8/25/2012 9:00,22.6,118.4,975,34,122,220,14,
,,8/25/2012 15:00,22.3,117.8,975,34,122,220,12,
,,8/25/2012 21:00,21.9,117.1,975,34,122,220,14,-
,,8/26/2012 3:00,21.4,116.8,975,34,122,220,11,
,,8/26/2012 9:00,21,116.8,970,36,130,250,7,
,,8/26/2012 15:00,20.9,116.6,970,36,130,250,4,
,,8/26/2012 21:00,20.7,116.5,970,36,130,250,4,0.7
,,8/27/2012 3:00,20.5,116.8,965,38,137,250,6,
,,8/27/2012 9:00,20.4,118,965,38,137,250,21,
,,8/27/2012 15:00,20.8,118.6,965,38,137,250,13,
,,8/27/2012 21:00,21.5,119.2,965,38,137,250,17,140.4
,,8/28/2012 3:00,21.9,120,975,34,122,230,16,
,,8/28/2012 9:00,22.8,121.7,975,34,122,230,34,
,,8/28/2012 15:00,24,122.9,975,34,122,230,30,
,,8/28/2012 21:00,25.3,123.6,980,31,112,200,27,165.5
,,8/29/2012 3:00,26.3,124,980,31,112,200,20,
,,8/29/2012 9:00,27.4,123.9,980,31,112,200,20,
,,8/29/2012 15:00,28.7,123.9,980,31,112,200,24,
,,8/29/2012 18:00,29.3,124,980,31,112,200,22,
,,8/29/2012 21:00,30.1,124.5,980,31,112,200,34,13.1
,,8/30/2012 0:00,30.9,124.9,980,31,112,200,32,
,,8/30/2012 3:00,32,125,980,31,112,200,41,
,,8/30/2012 6:00,32.9,125.7,980,31,112,200,40,
,,8/30/2012 9:00,33.9,126.2,985,27,97,180,40,
,,8/30/2012 12:00,34.6,127.2,992,23,83,170,40,
,,8/30/2012 15:00,35.7,127.8,995,20,72,150,45,
,,8/30/2012 18:00,36.8,128.3,998,19,68,80,43,
,,8/30/2012 21:00,37.1,129.2,1000,18,65,30,29,38.7
,,8/31/2012 0:00,37.3,130.3,1002,-,-,-,33,-
201216,SANBA,9/11/2012 9:00,9.4,134,1004,18,65,200,4,
,,9/11/2012 15:00,10.6,133.9,1000,18,65,200,22,
,,9/11/2012 21:00,11.4,133.4,996,19,68,200,17,0
,,9/12/2012 3:00,11.8,132.5,996,19,68,200,18,
,,9/12/2012 9:00,12.6,131.8,992,22,79,220,20,
,,9/12/2012 15:00,13,131.1,992,22,79,220,15,
,,9/12/2012 21:00,13.6,130.6,980,31,112,300,14,-
,,9/13/2012 3:00,14.2,130,980,31,112,300,15,
,,9/13/2012 9:00,14.8,129.8,970,36,130,350,12,
,,9/13/2012 15:00,15.6,129.5,950,43,155,450,16,
,,9/13/2012 21:00,16.3,129.6,930,50,180,520,13,2.5
,,9/14/2012 3:00,17.2,129.7,915,54,194,530,17,
,,9/14/2012 9:00,18.1,129.7,915,54,194,530,17,
,,9/14/2012 15:00,19.1,129.8,910,56,202,530,19,
,,9/14/2012 21:00,20.2,129.8,920,53,191,500,20,1.7
,,9/15/2012 3:00,21.4,129.5,920,53,191,500,22,
,,9/15/2012 9:00,22.3,129.1,920,53,191,500,18,
,,9/15/2012 15:00,23.4,128.8,930,50,180,480,21,
,,9/15/2012 21:00,24.5,128.5,930,50,180,480,21,6
,,9/16/2012 3:00,25.6,128.2,935,48,173,480,21,
,,9/16/2012 9:00,27,128.1,935,48,173,420,26,
,,9/16/2012 15:00,28.8,128.2,935,48,173,400,33,
,,9/16/2012 18:00,29.8,128,940,47,169,400,38,
,,9/16/2012 21:00,30.6,127.9,940,47,169,400,30,193.2
,,9/17/2012 0:00,31.4,127.8,940,47,169,400,30,
,,9/17/2012 3:00,32.2,127.9,945,45,162,380,30,
,,9/17/2012 6:00,33.1,128,950,43,155,380,34,
,,9/17/2012 9:00,34,128.2,955,41,148,380,34,
,,9/17/2012 12:00,35,128.1,965,38,137,380,37,
,,9/17/2012 15:00,36.1,128.2,980,31,112,350,41,
,,9/17/2012 18:00,37,128.7,990,24,86,270,37,
,,9/17/2012 21:00,38.8,129.3,992,22,79,220,69,206
,,9/18/2012 3:00,40.5,130.6,994,21,76,130,37,
,,9/18/2012 9:00,42.6,133.2,998,-,-,-,53,-
201618,CHABA,9/26/2016 15:00,15.8,158.1,1008,15,54,-,13,
,,9/26/2016 21:00,15.6,156.4,1008,15,54,-,31,3
,,9/27/2016 3:00,15.2,154.6,1008,15,54,-,33,
,,9/27/2016 9:00,14.7,153.1,1006,15,54,-,28,
,,9/27/2016 15:00,14.3,152,1006,15,54,-,21,
,,9/27/2016 21:00,14.4,151.4,1006,15,54,-,11,3.5
,,9/28/2016 3:00,14.5,150.1,1000,18,65,180,23,
,,9/28/2016 9:00,14.4,148.7,998,19,68,200,25,
,,9/28/2016 15:00,14.5,146.8,996,20,72,230,34,
,,9/28/2016 21:00,13.8,145.2,996,20,72,220,32,61.8
,,9/29/2016 3:00,14.5,144.6,996,20,72,220,17,
,,9/29/2016 9:00,14.4,143.5,996,20,72,220,20,
,,9/29/2016 15:00,14.3,141.6,996,20,72,220,34,
,,9/29/2016 21:00,14.2,140.6,992,23,83,220,18,24.2
,,9/30/2016 3:00,13.6,139.2,992,23,83,220,28,
,,9/30/2016 9:00,13.5,138,990,24,86,220,22,
,,9/30/2016 15:00,13.7,137.2,990,24,86,220,15,
,,9/30/2016 21:00,14.8,136.6,990,24,86,220,23,21
,,10/1/2016 3:00,15.5,135.9,985,27,97,250,18,
,,10/1/2016 9:00,16.1,135.4,985,27,97,250,14,
,,10/1/2016 15:00,16.8,134.7,985,27,97,250,18,
,,10/1/2016 21:00,17.7,133.3,975,32,115,280,30,5
,,10/2/2016 3:00,18.5,132.5,965,37,133,300,20,
,,10/2/2016 9:00,19.7,131.5,960,39,140,300,28,
,,10/2/2016 15:00,20.8,130.4,945,45,162,350,28,
,,10/2/2016 21:00,21.8,129.3,945,45,162,350,27,0
,,10/3/2016 3:00,22.8,128.3,940,47,169,350,25,
,,10/3/2016 9:00,23.8,127.6,930,50,180,380,22,
,,10/3/2016 15:00,24.9,127.1,930,50,180,350,22,
,,10/3/2016 21:00,25.8,126.7,930,50,180,330,18,0
,,10/4/2016 3:00,26.8,126.4,930,50,180,300,19,
,,10/4/2016 9:00,27.9,126.3,935,49,176,300,20,
,,10/4/2016 12:00,28.6,126.1,940,47,169,300,27,
,,10/4/2016 15:00,29.5,126,940,47,169,300,34,
,,10/4/2016 18:00,30.2,125.9,940,47,169,300,26,
,,10/4/2016 21:00,31,125.9,945,45,162,300,30,16.6
,,10/5/2016 0:00,31.9,126,950,43,155,300,34,
,,10/5/2016 3:00,32.8,126.4,955,40,144,280,36,
,,10/5/2016 6:00,33.7,127.1,960,39,140,280,40,
,,10/5/2016 9:00,34.6,128.1,970,35,126,260,45,
,,10/5/2016 12:00,35.2,129.3,975,32,115,230,43,
,,10/5/2016 15:00,35.9,131,980,29,104,220,57,
,,10/5/2016 21:00,37.9,136.6,985,27,97,170,91,158.5
,,10/6/2016 0:00,42.2,141.8,994,-,-,-,216,-
201819,SOULIK,8/16/2018 3:00,13.2,143.7,1002,15,54,-,30,
,,8/16/2018 9:00,15.2,143.2,998,18,65,200,38,
,,8/16/2018 15:00,16.3,142.8,996,20,72,220,22,
,,8/16/2018 21:00,18.4,141.8,994,21,76,230,25,12.7
,,8/17/2018 3:00,20,141.7,992,23,83,240,30,
,,8/17/2018 9:00,21.4,141,990,24,86,250,29,
,,8/17/2018 15:00,23,140.4,980,29,104,270,31,
,,8/17/2018 21:00,23.8,140.2,980,29,104,270,15,8
,,8/18/2018 3:00,24.3,139.9,975,32,115,280,11,
,,8/18/2018 9:00,24.5,140,970,35,126,300,4,
,,8/18/2018 15:00,24.8,140,960,39,140,320,6,
,,8/18/2018 21:00,24.9,140,955,40,144,330,2,-
,,8/19/2018 3:00,24.9,139.7,955,40,144,330,5,
,,8/19/2018 9:00,25.1,139,955,40,144,330,12,
,,8/19/2018 15:00,25,138.7,955,40,144,330,5,
,,8/19/2018 21:00,25.2,138.2,960,39,140,340,9,-
,,8/20/2018 3:00,25.6,137.4,960,39,140,340,15,
,,8/20/2018 9:00,25.8,136.3,960,39,140,340,19,
,,8/20/2018 15:00,26,135.5,960,39,140,360,14,
,,8/20/2018 21:00,26.5,134.5,960,39,140,360,19,-
,,8/21/2018 3:00,27,133.3,955,40,144,370,22,
,,8/21/2018 9:00,27.6,132.2,950,43,155,380,21,
,,8/21/2018 15:00,28.4,131.1,950,43,155,380,23,
,,8/21/2018 21:00,29.1,129.9,950,43,155,380,23,-
,,8/22/2018 9:00,30.3,127.7,950,43,155,380,19,
,,8/22/2018 15:00,31.1,126.9,950,43,155,380,20,
,,8/22/2018 18:00,31.5,126.6,955,40,144,360,18,
,,8/22/2018 21:00,31.9,126.3,955,40,144,360,18,36.9
,,8/23/2018 0:00,32.3,126,955,40,144,360,18,
,,8/23/2018 3:00,32.7,125.8,955,40,144,360,16,
,,8/23/2018 6:00,33.1,125.6,960,39,140,340,16,
,,8/23/2018 9:00,33.3,125.6,965,37,133,340,7,
,,8/23/2018 12:00,33.4,125.6,970,35,126,320,4,
,,8/23/2018 15:00,33.6,125.5,970,35,126,320,8,
,,8/23/2018 18:00,34.2,125.7,970,35,126,300,23,
,,8/23/2018 21:00,34.3,126.1,975,32,115,290,12,265.4
,,8/24/2018 0:00,34.8,126.7,975,32,115,270,27,
,,8/24/2018 3:00,35.5,127.2,985,24,86,230,31,
,,8/24/2018 6:00,36.3,127.7,985,22,79,210,32,
,,8/24/2018 9:00,37.5,128.6,985,22,79,120,52,
,,8/24/2018 12:00,38.2,129.4,985,22,79,150,35,
,,8/24/2018 15:00,38.8,130.3,985,22,79,150,34,
,,8/24/2018 21:00,40.1,132.1,990,20,72,120,35,0
,,8/25/2018 3:00,41.4,133.5,990,20,72,-,31,1.4
201825,KONG-REY,9/28/2018 15:00,8.3,149.4,1004,15,54,-,26,
,,9/28/2018 21:00,9.2,148.1,1004,15,54,-,29,0
,,9/29/2018 3:00,10.5,146.5,1002,15,54,-,38,
,,9/29/2018 9:00,12.2,144.8,1002,15,54,-,44,
,,9/29/2018 15:00,12.5,142.7,1000,18,65,180,30,
,,9/29/2018 21:00,12.9,141.6,996,20,72,200,21,3
,,9/30/2018 3:00,13.1,139.8,990,24,86,220,33,
,,9/30/2018 9:00,13.5,138.9,985,27,97,250,18,
,,9/30/2018 15:00,14.4,138.1,975,32,115,250,22,
,,9/30/2018 21:00,15,137.2,970,35,126,280,20,-
,,10/1/2018 3:00,15.4,136.4,965,37,133,300,16,
,,10/1/2018 9:00,15.5,135.8,960,39,140,330,11,
,,10/1/2018 15:00,16.1,135.2,955,40,144,350,15,
,,10/1/2018 21:00,16.4,134.5,940,47,169,370,14,0
,,10/2/2018 3:00,17.2,133.7,930,50,180,450,20,
,,10/2/2018 9:00,17.7,132.7,925,51,184,400,20,
,,10/2/2018 15:00,18.2,132.1,920,53,191,400,14,
,,10/2/2018 21:00,18.9,131.3,920,53,191,400,19,-
,,10/3/2018 3:00,19.5,130.5,920,53,191,410,18,
,,10/3/2018 9:00,20.2,129.8,930,50,180,410,18,
,,10/3/2018 15:00,20.9,129.2,940,47,169,400,17,
,,10/3/2018 21:00,21.6,128.8,950,43,155,380,15,-
,,10/4/2018 3:00,22.4,128.1,955,40,144,430,19,
,,10/4/2018 9:00,23.1,127.7,960,39,140,430,15,
,,10/4/2018 15:00,24.3,127.1,970,35,126,430,24,
,,10/4/2018 21:00,25.4,126.7,970,35,126,420,21,3.4
,,10/5/2018 3:00,26.7,126.1,975,32,115,420,26,
,,10/5/2018 9:00,28,125.8,975,32,115,420,25,
,,10/5/2018 15:00,29.4,125.6,975,32,115,420,26,
,,10/5/2018 18:00,30.2,125.7,975,32,115,420,30,
,,10/5/2018 21:00,31.2,125.8,975,32,115,400,37,310
,,10/6/2018 0:00,31.9,125.9,975,32,115,380,26,
,,10/6/2018 3:00,32.7,126.4,975,32,115,350,33,
,,10/6/2018 6:00,33.8,127.3,975,32,115,340,49,
,,10/6/2018 9:00,34.7,128.1,975,32,115,330,41,
,,10/6/2018 12:00,35.8,129.2,985,27,97,280,53,
,,10/6/2018 15:00,37.2,130.5,985,27,97,230,65,
,,10/6/2018 18:00,38.3,131.8,985,27,97,230,56,
,,10/6/2018 21:00,38.7,133.3,985,27,97,150,46,27.4
,,10/7/2018 3:00,40.6,136.6,990,24,86,150,59,
,,10/7/2018 9:00,42,141.1,990,24,86,-,68,-
201908,FRANCISCO,8/1/2019 21:00,18.4,154,1004,12,43,-,18,-
,,8/2/2019 3:00,19,153.6,1000,16,58,-,11,
,,8/2/2019 9:00,19.7,153.1,998,18,65,180,16,
,,8/2/2019 15:00,21,152,998,19,68,180,41,
,,8/2/2019 21:00,21.8,151.2,998,19,68,190,21,-
,,8/3/2019 3:00,22.7,150.4,996,20,72,190,13,
,,8/3/2019 9:00,24.2,148.7,994,21,76,200,40,
,,8/3/2019 15:00,25.2,147.6,994,21,76,230,29,
